DATA INICIAL;DATA FINAL;REGIÃO;ESTADO;MUNICÍPIO;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;MARGEM MÉDIA REVENDA;COEF DE VARIAÇÃO REVENDA
02/01/2022;08/01/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,865;0,211;5,599;6,699;-;0,036
02/01/2022;08/01/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,74;0,121;6,178;6,999;-;0,018
09/01/2022;15/01/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,881;0,184;5,499;6,499;-;0,031
09/01/2022;15/01/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,827;0,155;6,349;7,149;-;0,023
16/01/2022;22/01/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,775;0,201;5,489;6,099;-;0,035
16/01/2022;22/01/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,794;0,157;6,647;7,099;-;0,023
23/01/2022;29/01/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,768;0,2;5,459;6,099;-;0,035
23/01/2022;29/01/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,88;0,132;6,659;7,189;-;0,019
30/01/2022;05/02/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,701;0,211;5,399;6,099;-;0,037
30/01/2022;05/02/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,685;0,062;6,637;6,849;-;0,009
06/02/2022;12/02/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,684;0,214;5,297;6,099;-;0,038
06/02/2022;12/02/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,901;0,136;6,499;7,198;-;0,02
13/02/2022;19/02/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,445;0,269;5,139;6,099;-;0,049
13/02/2022;19/02/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,74;0,141;6,597;6,999;-;0,021
20/02/2022;26/02/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,458;0,23;4,939;6,099;-;0,042
20/02/2022;26/02/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,739;0,226;6,199;7,049;-;0,033
27/02/2022;05/03/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,36;0,293;4,899;6,099;-;0,055
27/02/2022;05/03/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,791;0,136;6,221;7,049;-;0,02
06/03/2022;12/03/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,363;0,286;4,899;6,099;-;0,053
06/03/2022;12/03/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;6,731;0,174;6,299;7,059;-;0,026
13/03/2022;19/03/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,589;0,237;4,878;5,999;-;0,042
13/03/2022;19/03/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;7,412;0,207;6,699;7,799;-;0,028
20/03/2022;26/03/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,766;0,211;5,399;6,099;-;0,037
20/03/2022;26/03/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;7,229;0,282;6,699;7,799;-;0,039
27/03/2022;02/04/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,852;0,19;5,249;6,089;-;0,032
27/03/2022;02/04/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;7,548;0,164;6,899;7,749;-;0,022
03/04/2022;09/04/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;47;R$/l;5,813;0,223;5,439;6,349;-;0,038
03/04/2022;09/04/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;47;R$/l;7,398;0,144;7,27;7,699;-;0,019
10/04/2022;16/04/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;ETANOL HIDRATADO;39;R$/l;5,936;0,126;5,55;6,18;-;0,021
10/04/2022;16/04/2022;CENTRO OESTE;DISTRITO FEDERAL;BRASILIA;GASOLINA COMUM;39;R$/l;7,616;0,154;7,277;7,799;-;0,02
