"Date","Mileage","Currency","Currency rate","Trip type","Ignored distance","Note","Gas station name","Gas station latitude","Gas station longitude","Gas station description","Fuel type 1","Quantity 1","Unit 1","Price 1","Full 1","After missed 1","Fuel type 2","Quantity 2","Unit 2","Price 2","Full 2","After missed 2","Fuel type 3","Quantity 3","Unit 3","Price 3","Full 3","After missed 3","Created","Modified"
"2022-12-23 23:15:24","65186","BRL","1.0","50","0.0","","BR","-15.8307505","-47.9188892","","pb","62.13","L","4.58","Sim","Não","","","","","","","","","","","","","2022-12-23 23:16:06","2022-12-23 23:16:06"
"2022-12-13 22:07:31","64458","BRL","1.0","50","0.0","","BR","-15.8307505","-47.9188892","","pb","46.95","L","4.64","Sim","Não","","","","","","","","","","","","","2022-12-13 22:10:57","2022-12-13 22:10:57"
"2022-12-08 09:36:40","63960","BRL","1.0","50","0.0","","BR","-15.8307505","-47.9188892","","pb","62.09","L","4.64","Sim","Não","","","","","","","","","","","","","2022-12-08 09:42:04","2022-12-08 09:42:04"
"2022-11-26 23:00:51","63303","BRL","1.0","50","0.0","","BR","-15.8307505","-47.9188892","","pb","63.585","L","4.75","Sim","Não","","","","","","","","","","","","","2022-11-26 23:06:17","2022-11-26 23:06:17"
"2022-11-18 21:20:26","62632","BRL","1.0","50","0.0","","BR","-15.8307505","-47.9188892","","pb","46.772","L","4.69","Sim","Não","","","","","","","","","","","","","2022-11-18 21:23:48","2022-11-18 21:23:48"
"2022-11-09 13:54:23","62151","BRL","1.0","50","0.0","","","","","","pb","62.407","L","4.69","Sim","Não","","","","","","","","","","","","","2022-11-09 13:58:13","2022-11-09 13:58:13"
"2022-10-28 21:18:12","61486","BRL","1.0","50","0.0","","BR","-15.8307505","-47.9188892","","pb","53.067","L","4.65","Sim","Não","","","","","","","","","","","","","2022-10-28 21:22:07","2022-10-28 21:22:07"
"2022-10-21 10:37:33","60894","BRL","1.0","50","0.0","","","","","","pb","51.007","L","4.65","Sim","Não","","","","","","","","","","","","","2022-10-21 10:39:21","2022-10-21 10:39:21"
"2022-10-12 18:50:42","60334","BRL","1.0","50","0.0","","","","","","pb","58.285","L","4.55","Sim","Não","","","","","","","","","","","","","2022-10-12 18:56:03","2022-10-12 18:56:03"
"2022-10-06 19:58:32","59647","BRL","1.0","50","0.0","","","","","","pb","60.522","L","4.55","Sim","Não","","","","","","","","","","","","","2022-10-06 20:03:57","2022-10-06 20:03:57"
"2022-09-27 16:08:31","58990","BRL","1.0","50","0.0","","","","","","pb","61.172","L","4.49","Sim","Não","","","","","","","","","","","","","2022-09-27 16:11:59","2022-09-27 16:11:59"
