date,week,type,quantity,price,totalAbastecimento,precoSemanal,precoMedio,precoMinimo,precoMaximo,precoDesvioPadrao,precoForaClube,foraClubeUsandoMedio,foraClubeUsandoMinimo,foraClubeUsandoMaximo,totaisCumulativos,totalBase,totalMedio,totalMinimo,totalMaximo
2022-03-19,202211,pb,"63,947","6,851","438,100",----,"7,229","6,699","7,799","0,282",----,"462,272","428,380","498,722",----,"438,100","462,272","428,380","498,722"
2022-03-26,202212,pb,"48,527","6,796","329,789",----,"7,548","6,899","7,749","0,164",----,"366,281","334,787","376,035",----,"767,889","828,553","763,167","874,757"
2022-04-04,202214,pb,"51,647","7,592","392,104",----,"7,616","7,277","7,799","0,154",----,"393,343","375,835","402,794",----,"1159,993","1221,896","1139,002","1277,551"
2022-04-14,202215,pb,"54,525","6,796","370,551",----,"7,704","7,447","8,099","0,174",----,"420,060","406,047","441,597",----,"1530,544","1641,956","1545,049","1719,148"
2022-04-26,202217,pb,"60,575","6,91","418,573",----,"7,699","7,447","7,999","0,174",----,"466,366","451,102","484,539",----,"1949,117","2108,322","1996,151","2203,687"
2022-05-06,202218,pb,"62,657","6,91","432,959",----,"7,63","7,44","7,99","0,156",----,"478,072","466,168","500,629",----,"2382,076","2586,394","2462,319","2704,316"
2022-05-16,202220,pb,"46,955","6,88","323,050",----,"7,3","7,05","7,49","0,128",----,"342,771","331,032","351,692",----,"2705,126","2929,165","2793,351","3056,008"
2022-05-26,202221,pb,"60,96","6,88","419,404",----,"7,25","6,91","7,89","0,293",----,"441,960","421,233","480,974",----,"3124,530","3371,125","3214,584","3536,982"
2022-05-30,202222,pb,"40,875","6,88","281,220",----,"7,73","6,99","7,99","0,167",----,"315,963","285,716","326,591",----,"3405,750","3687,088","3500,300","3863,573"
2022-06-12,202223,pb,"60,305","6,88","414,898",----,"7,52","7,47","7,69","0,073",----,"453,493","450,478","463,745",----,"3820,648","4140,581","3950,778","4327,318"
2022-06-22,202225,pb,"47,785","6,98","333,539",----,"7,21","6,97","7,61","0,204",----,"344,529","333,061","363,643",----,"4154,187","4485,110","4283,839","4690,961"
2022-07-02,202226,pb,"60,722","6,16","374,047",----,"6,27","5,79","6,59","0,16",----,"380,726","351,580","400,157",----,"4528,234","4865,836","4635,419","5091,118"
2022-07-12,202228,pb,"50,587","5,39","272,663",----,"5,62","5,37","6,68","0,22",----,"284,298","271,652","337,921",----,"4800,897","5150,134","4907,071","5429,039"
2022-07-23,202229,pb,"61,012","5,19","316,652",----,"5,91","5,67","6,19","0,09",----,"360,580","345,938","377,664",----,"5117,549","5510,714","5253,009","5806,703"
2022-08-03,202231,pb,"60,27","5,09","306,774",----,"5,41","5,19","5,99","0,153",----,"326,060","312,801","361,017",----,"5424,323","5836,774","5565,810","6167,720"
2022-08-09,202232,pb,"50,054","5,03","251,771",----,"5,43","5,04","6,09","0,336",----,"271,793","252,272","304,828",----,"5676,094","6108,567","5818,082","6472,548"
2022-08-17,202233,pb,"56,902","4,89","278,250",----,"5,03","4,94","5,99","0,2",----,"286,217","281,095","340,842",----,"5954,344","6394,784","6099,177","6813,390"
2022-08-24,202234,pb,"53,757","4,82","259,108",----,"5,22","4,89","5,53","0,12",----,"280,611","262,871","297,276",----,"6213,452","6675,395","6362,048","7110,666"
2022-09-02,202235,pb,"60,642","4,59","278,346",----,"4,82","4,68","4,99","0,082",----,"292,294","283,804","302,603",----,"6491,798","6967,689","6645,852","7413,269"
2022-09-08,202236,pb,"60,8","4,54","276,032",----,"4,86","4,57","5,49","0,281",----,"295,488","277,856","333,792",----,"6767,830","7263,177","6923,708","7747,061"
2022-09-18,202237,pb,"61,145","4,49","274,541",----,"4,86","4,57","5,49","0,281",----,"297,164","279,432","335,686",----,"7042,371","7560,341","7203,140","8082,747"
2022-09-27,202239,pb,"61,172","4,49","274,662",----,"4,99","4,89","5,19","0,107",----,"305,248","299,131","317,482",----,"7317,033","7865,589","7502,271","8400,229"
2022-10-06,202240,pb,"60,522","4,55","275,375",----,"5,04","4,63","5,19","0,159",----,"305,030","280,216","314,109",----,"7592,408","8170,619","7782,487","8714,338"
2022-10-12,202241,pb,"58,285","4,55","265,196",----,"4,94","4,62","5,29","0,214",----,"287,927","269,276","308,327",----,"7857,604","8458,546","8051,763","9022,665"
2022-10-21,202242,pb,"51,007","4,65","237,182",----,"5,05","4,34","5,29","0,158",----,"257,585","221,370","269,827",----,"8094,786","8716,131","8273,133","9292,492"
2022-10-28,202243,pb,"53,067","4,65","246,761",----,"5,27","4,85","5,59","0,176",----,"279,663","257,374","296,644",----,"8341,547","8995,794","8530,507","9589,136"
2022-11-09,202245,pb,"62,407","4,69","292,688",----,"5,07","4,99","5,19","0,055",----,"316,403","311,410","323,892",----,"8634,235","9312,197","8841,917","9913,028"
2022-11-18,202246,pb,"46,772","4,69","219,360",----,"5,18","4,95","5,39","0,142",----,"242,278","231,521","252,101",----,"8853,595","9554,475","9073,438","10165,129"
2022-11-26,202247,pb,"63,585","4,75","302,028",----,"5,02","4,79","5,29","0,135",----,"319,196","304,572","336,364",----,"9155,623","9873,671","9378,010","10501,493"
2022-12-08,202249,pb,"62,09","4,64","288,097",----,"4,79","4,09","4,99","0,117",----,"297,411","253,948","309,829",----,"9443,720","10171,082","9631,958","10811,322"
2022-12-13,202250,pb,"46,95","4,64","217,848",----,"5,15","4,99","5,3","0,038",----,"241,792","234,280","248,835",----,"9661,568","10412,874","9866,238","11060,157"
2022-12-23,202251,pb,"62,13","4,58","284,555",----,"5,15","4,99","5,3","0,038",----,"319,969","310,028","329,289",----,"9946,123","10732,843","10176,266","11389,446"
